	
          78	    	17:17:31	054.203	         29.952		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          79	    	17:17:31	084.218	         30.015		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          80	    	17:17:31	114.190	         29.972		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          81	    	17:17:31	144.300	         30.110		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          82	    	17:17:31	174.275	         29.975		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          83	    	17:17:31	204.217	         29.942		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          84	    	17:17:31	234.204	         29.987		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          85	    	17:17:31	264.192	         29.988		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          86	    	17:17:31	294.183	         29.991		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          87	    	17:17:31	324.285	         30.102		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          88	    	17:17:31	354.291	         30.006		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          89	    	17:17:31	384.266	         29.975		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          90	    	17:17:31	414.254	         29.988		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          91	    	17:17:31	444.209	         29.955		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          92	    	17:17:31	474.209	         30.000		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          93	    	17:17:31	504.187	         29.978		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          94	    	17:17:31	534.290	         30.103		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          95	    	17:17:31	564.301	         30.011		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          96	    	17:17:31	594.277	         29.976		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          97	    	17:17:31	624.221	         29.944		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
          98	    	17:17:31	654.189	         29.968		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
          99	    	17:17:31	684.301	         30.112		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         100	    	17:17:31	714.268	         29.967		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         101	    	17:17:31	744.219	         29.951		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         102	    	17:17:31	774.209	         29.990		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         103	    	17:17:31	804.203	         29.994		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         104	    	17:17:31	834.304	         30.101		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         105	    	17:17:31	864.280	         29.976		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         106	    	17:17:31	894.271	         29.991		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         107	    	17:17:31	924.263	         29.992		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         108	    	17:17:31	954.220	         29.957		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         109	    	17:17:31	984.266	         30.046		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         110	    	17:17:32	014.228	         29.962		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         111	    	17:17:32	044.211	         29.983		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         112	    	17:17:32	074.207	         29.996		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         113	    	17:17:32	104.190	         29.983		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         114	    	17:17:32	134.304	         30.114		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         115	    	17:17:32	164.292	         29.988		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         116	    	17:17:32	194.267	         29.975		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         117	    	17:17:32	224.227	         29.960		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         118	    	17:17:32	254.216	         29.989		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         119	    	17:17:32	284.306	         30.090		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         120	    	17:17:32	312.354	         28.048		      1551	       60F	      	  8	23	10	10	01	73	61	76	65	#___save	
         121	    	17:17:33	158.518	        846.164		      1423	       58F	      	  8	60	10	10	01	00	00	00	00	`_______	
         122	    	17:17:33	158.684	          0.166		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         123	    	17:17:33	188.283	         29.599		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         124	    	17:17:33	218.277	         29.994		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         125	    	17:17:33	248.236	         29.959		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         126	    	17:17:33	278.238	         30.002		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         127	    	17:17:33	308.216	         29.978		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         128	    	17:17:33	338.305	         30.089		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         129	    	17:17:33	368.237	         29.932		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         130	    	17:17:33	398.224	         29.987		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         131	    	17:17:33	428.212	         29.988		       399	       18F	      	  4	00	00	D0	36	  	  	  	  	__–6    	
         132	    	17:17:33	458.291	         30.079		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         133	    	17:17:33	488.281	         29.990		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         134	    	17:17:33	518.229	         29.948		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         135	    	17:17:33	548.206	         29.977		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         136	    	17:17:33	578.320	         30.114		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         137	    	17:17:33	608.321	         30.001		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         138	    	17:17:33	638.293	         29.972		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         139	    	17:17:33	668.277	         29.984		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         140	    	17:17:33	698.246	         29.969		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         141	    	17:17:33	728.280	         30.034		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         142	    	17:17:33	758.219	         29.939		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         143	    	17:17:33	788.304	         30.085		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         144	    	17:17:33	818.287	         29.983		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         145	    	17:17:33	848.234	         29.947		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         146	    	17:17:33	878.320	         30.086		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         147	    	17:17:33	908.287	         29.967		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         148	    	17:17:33	938.291	         30.004		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         149	    	17:17:33	968.233	         29.942		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         150	    	17:17:33	998.312	         30.079		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         151	    	17:17:34	028.304	         29.992		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         152	    	17:17:34	058.255	         29.951		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         153	    	17:17:34	088.237	         29.982		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         154	    	17:17:34	118.225	         29.988		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         155	    	17:17:34	148.332	         30.107		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         156	    	17:17:34	178.320	         29.988		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         157	    	17:17:34	208.293	         29.973		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         158	    	17:17:34	238.283	         29.990		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         159	    	17:17:34	268.247	         29.964		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         160	    	17:17:34	298.236	         29.989		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         161	    	17:17:34	328.220	         29.984		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         162	    	17:17:34	358.335	         30.115		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         163	    	17:17:34	388.317	         29.982		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         164	    	17:17:34	418.296	         29.979		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         165	    	17:17:34	448.244	         29.948		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         166	    	17:17:34	478.336	         30.092		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         167	    	17:17:34	508.307	         29.971		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         168	    	17:17:34	538.305	         29.998		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         169	    	17:17:34	568.258	         29.953		       399	       18F	      	  4	00	00	90	36	  	  	  	  	__ê6    	
         170	    	17:17:34	598.228	         29.970		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         171	    	17:17:34	628.336	         30.108		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         172	    	17:17:34	658.319	         29.983		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         173	    	17:17:34	688.293	         29.974		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         174	    	17:17:34	718.256	         29.963		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         175	    	17:17:34	748.226	         29.970		       399	       18F	      	  4	00	00	C0	36	  	  	  	  	__¿6    	
         176	    	17:17:34	778.224	         29.998		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         177	    	17:17:34	808.331	         30.107		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         178	    	17:17:34	838.305	         29.974		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         179	    	17:17:34	868.312	         30.007		       399	       18F	      	  4	00	00	A0	36	  	  	  	  	__†6    	
         180	    	17:17:34	898.296	         29.984		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
         181	    	17:17:34	928.288	         29.992		       399	       18F	      	  4	00	00	B0	36	  	  	  	  	__∞6    	
