[--] ----------------------------------------------
[--] CANreal Save Frames Header (created)
[--] ----------------------------------------------
[F1] Source:                  	C:\Users\Sergiu\Desktop\aaa.csplog
[F2] Split file series:       	aaa.csplog
[F3] File serial number:      	n/a
[F4] Id-Description file:     	<none>
[F5] Header type:             	0
[F6] Header length:           	2093
[F7] File date:               	24.05.2023
[F8] File time:               	15:41:40
[S1] Hardware:                	1000
[S2] Driver:                  	2700
[S3] Firmware:                	1100
[S5] dll:                     	5006
[S6] Board:                   	CAN_USB2
[S7] status:                  	00000000
[S8] OS:                      	Windows 8/10  (6,2,9200,2,[])
[SE] Application:             	CANreal
[S9] App version:             	8.71
[SA] Features:                	0972 (2b Ts Lo St)
[SB] HW Time stamps:          	resolution 1.000 MHz <> 1000.000 nsec (OK)
[SC] Controller:              	LPC
[SD] Board serial:            	HN007737
[C1] Net number:              	0
[C2] Bitrate:                 	500.0
[C3] 29-bit-Ids:              	1 - enabled
[T0] Start trigger:           	none
[T1] End   trigger:           	none
[C4] Id-Area:                 	0000-2047 ($000-$7FF)
[--] ----------------------------------------------
[--] Frame_Number	Trigger	Absolute_Time	Msec	Relative_Time	Desc	CAN_Id_dec	CAN_Id_hex	Attributes	Length	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
[--]     Num	Trig	     Abs	Msec	            Rel	Desc	     IdDec	     IdHex	Attr	Len	d1	d2	d3	d4	d5	d6	d7	d8	Text    	
          69	    	15:41:24	885.022	         30.005		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
          70	    	15:41:24	915.002	         29.980		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
          71	    	15:41:24	945.061	         30.059		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          72	    	15:41:24	974.987	         29.926		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          73	    	15:41:25	004.987	         30.000		       399	       18F	      	  4	50	02	C0	36	  	  	  	  	P_¿6    	
          74	    	15:41:25	034.988	         30.001		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
          75	    	15:41:25	065.068	         30.080		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          76	    	15:41:25	095.050	         29.982		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
          77	    	15:41:25	125.055	         30.005		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
          78	    	15:41:25	155.013	         29.958		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          79	    	15:41:25	184.994	         29.981		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          80	    	15:41:25	214.988	         29.994		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
          81	    	15:41:25	245.066	         30.078		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          82	    	15:41:25	275.021	         29.955		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          83	    	15:41:25	304.997	         29.976		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          84	    	15:41:25	334.987	         29.990		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          85	    	15:41:25	365.086	         30.099		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
          86	    	15:41:25	395.056	         29.970		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          87	    	15:41:25	424.987	         29.931		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
          88	    	15:41:25	454.987	         30.000		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
          89	    	15:41:25	485.088	         30.101		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          90	    	15:41:25	515.064	         29.976		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
          91	    	15:41:25	545.028	         29.964		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          92	    	15:41:25	575.099	         30.071		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          93	    	15:41:25	605.069	         29.970		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
          94	    	15:41:25	635.009	         29.940		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          95	    	15:41:25	664.992	         29.983		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
          96	    	15:41:25	695.066	         30.074		       399	       18F	      	  4	50	02	90	36	  	  	  	  	P_ê6    	
          97	    	15:41:25	725.011	         29.945		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
          98	    	15:41:25	754.989	         29.978		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
          99	    	15:41:25	785.097	         30.108		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         100	    	15:41:25	815.064	         29.967		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         101	    	15:41:25	845.010	         29.946		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         102	    	15:41:25	875.112	         30.102		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         103	    	15:41:25	905.095	         29.983		       399	       18F	      	  4	50	02	C0	36	  	  	  	  	P_¿6    	
         104	    	15:41:25	935.095	         30.000		       399	       18F	      	  4	50	02	C0	36	  	  	  	  	P_¿6    	
         105	    	15:41:25	965.102	         30.007		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         106	    	15:41:25	995.064	         29.962		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         107	    	15:41:26	025.001	         29.937		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         108	    	15:41:26	055.091	         30.090		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         109	    	15:41:26	085.019	         29.928		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         110	    	15:41:26	114.987	         29.968		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         111	    	15:41:26	145.086	         30.099		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         112	    	15:41:26	175.006	         29.920		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         113	    	15:41:26	205.101	         30.095		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         114	    	15:41:26	235.073	         29.972		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         115	    	15:41:26	265.113	         30.040		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
         116	    	15:41:26	295.078	         29.965		       399	       18F	      	  4	50	02	B0	36	  	  	  	  	P_∞6    	
         117	    	15:41:26	325.064	         29.986		       399	       18F	      	  4	50	02	A0	36	  	  	  	  	P_†6    	
