Start Time  Tuesday March 01 2022 16:51:41,,,,,,,
USB-to-CAN V2 compact  CAN-1,73,94.854,      ,605,8,23 00 18 01 85 01 00 00,#.......
USB-to-CAN V2 compact  CAN-1,74,94.855,      ,585,8,60 00 18 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,75,94.865,      ,605,8,23 01 18 01 85 02 00 80,#.......
USB-to-CAN V2 compact  CAN-1,76,94.866,      ,585,8,60 01 18 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,77,94.879,      ,605,8,2F 01 18 02 FF 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,78,94.879,      ,585,8,60 01 18 02 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,79,94.887,      ,605,8,2B 01 18 03 B8 0B 00 00,+.......
USB-to-CAN V2 compact  CAN-1,80,94.888,      ,585,8,60 01 18 03 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,81,94.899,      ,605,8,2B 01 18 05 00 00 00 00,+.......
USB-to-CAN V2 compact  CAN-1,82,94.899,      ,585,8,60 01 18 05 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,83,94.909,      ,605,8,2F 01 1A 00 00 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,84,94.91,      ,585,8,60 01 1A 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,85,94.921,      ,605,8,23 01 1A 01 20 00 6C 60,#... .l`
USB-to-CAN V2 compact  CAN-1,86,94.921,      ,585,8,60 01 1A 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,87,94.932,      ,605,8,23 01 1A 02 10 00 7E 20,#.....~ 
USB-to-CAN V2 compact  CAN-1,88,94.933,      ,585,8,60 01 1A 02 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,89,94.943,      ,605,8,2F 01 1A 00 02 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,90,94.944,      ,585,8,60 01 1A 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,91,94.954,      ,605,8,23 02 18 01 85 03 00 80,#.......
USB-to-CAN V2 compact  CAN-1,92,94.955,      ,585,8,60 02 18 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,93,94.965,      ,605,8,2F 02 18 02 FF 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,94,94.966,      ,585,8,60 02 18 02 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,96,94.976,      ,605,8,2B 02 18 03 B8 0B 00 00,+.......
USB-to-CAN V2 compact  CAN-1,97,94.977,      ,585,8,60 02 18 03 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,98,94.987,      ,605,8,2B 02 18 05 00 00 00 00,+.......
USB-to-CAN V2 compact  CAN-1,99,94.988,      ,585,8,60 02 18 05 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,100,94.998,      ,605,8,2F 02 1A 00 00 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,101,94.999,      ,585,8,60 02 1A 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,102,95.009,      ,605,8,23 02 1A 01 10 00 47 20,#.....G 
USB-to-CAN V2 compact  CAN-1,103,95.01,      ,585,8,60 02 1A 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,104,95.021,      ,605,8,2F 02 1A 00 01 00 00 00,/.......
USB-to-CAN V2 compact  CAN-1,105,95.021,      ,585,8,60 02 1A 00 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,106,95.031,      ,605,8,23 00 14 01 05 02 00 80,#.......
USB-to-CAN V2 compact  CAN-1,107,95.032,      ,585,8,60 00 14 01 00 00 00 00,`.......
USB-to-CAN V2 compact  CAN-1,108,95.043,      ,605,8,2F 00 16 00 00 00 00 00,/.......
